session_id,entity_id,entity_type,timestamp,session_count,blended_score,confidence,label,note
SES_0000055,DEV_0108,edge_device,2026-01-01 07:07:56,1,0.3917423064579627,0.21400000000000002,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0000056,DEV_0108,edge_device,2026-01-01 07:09:00,2,0.3666386953868555,0.228,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0000057,DEV_0108,edge_device,2026-01-01 07:09:13,3,0.310854348742917,0.242,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0000059,DEV_0108,edge_device,2026-01-01 07:12:36,4,0.266095731714564,0.256,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0000116,DEV_0108,edge_device,2026-01-01 07:52:56,5,0.1138338585961427,0.27,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0000318,DEV_0108,edge_device,2026-01-01 11:29:54,6,0.2308266103766547,0.28400000000000003,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0000638,DEV_0108,edge_device,2026-01-01 17:15:02,7,0.1239917587864855,0.29800000000000004,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0000654,DEV_0108,edge_device,2026-01-01 17:29:22,8,0.2605775489029646,0.312,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0000789,DEV_0108,edge_device,2026-01-01 19:53:27,9,0.1210537590240362,0.326,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0000804,DEV_0108,edge_device,2026-01-01 20:07:11,10,0.1213711333408841,0.33999999999999997,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0000818,DEV_0108,edge_device,2026-01-01 20:27:14,11,0.1792433350500613,0.354,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0000829,DEV_0108,edge_device,2026-01-01 20:34:55,12,0.1351061739642871,0.368,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0000991,DEV_0108,edge_device,2026-01-02 07:27:57,13,0.1219733617383188,0.382,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0001031,DEV_0108,edge_device,2026-01-02 07:57:32,14,0.1653364943558719,0.396,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0001501,DEV_0108,edge_device,2026-01-02 17:47:21,15,0.1214362561780125,0.41000000000000003,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0001513,DEV_0108,edge_device,2026-01-02 17:56:53,16,0.0954921228188886,0.424,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0001749,DEV_0108,edge_device,2026-01-03 07:01:06,17,0.1686775169893515,0.438,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0001843,DEV_0108,edge_device,2026-01-03 07:57:02,18,0.1585226717601507,0.452,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0002024,DEV_0108,edge_device,2026-01-03 11:11:35,19,0.126773404181154,0.46599999999999997,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0002063,DEV_0108,edge_device,2026-01-03 11:54:08,20,0.1690354494112286,0.48,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0002356,DEV_0108,edge_device,2026-01-03 17:22:02,21,0.1905471637399359,0.494,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0002391,DEV_0108,edge_device,2026-01-03 17:55:19,22,0.3224568977674538,0.508,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0002438,DEV_0108,edge_device,2026-01-03 19:03:41,23,0.1423432372093335,0.522,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0002502,DEV_0108,edge_device,2026-01-03 20:26:30,24,0.1147838404315423,0.536,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0002636,DEV_0108,edge_device,2026-01-04 07:05:28,25,0.2526000099471279,0.55,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0002678,DEV_0108,edge_device,2026-01-04 07:29:11,26,0.1166538186009311,0.5640000000000001,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0002683,DEV_0108,edge_device,2026-01-04 07:40:23,27,0.2067581048556168,0.5780000000000001,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0002934,DEV_0108,edge_device,2026-01-04 11:41:08,28,0.2387231937927632,0.5920000000000001,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0003340,DEV_0108,edge_device,2026-01-04 19:10:11,29,0.1915229452838543,0.606,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0003349,DEV_0108,edge_device,2026-01-04 19:15:59,30,0.1288562353215531,0.62,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0003361,DEV_0108,edge_device,2026-01-04 19:30:40,31,0.1204341307967393,0.634,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0003367,DEV_0108,edge_device,2026-01-04 19:34:54,32,0.2458697496138549,0.6479999999999999,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0003380,DEV_0108,edge_device,2026-01-04 19:59:38,33,0.3357181936526626,0.6619999999999999,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0003392,DEV_0108,edge_device,2026-01-04 20:12:46,34,0.3506635255375169,0.6759999999999999,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0003406,DEV_0108,edge_device,2026-01-04 20:28:37,35,0.3742977604766976,0.69,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0003768,DEV_0108,edge_device,2026-01-05 11:03:14,36,0.1263492456576214,0.704,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0003775,DEV_0108,edge_device,2026-01-05 11:10:02,37,0.2306649401099216,0.718,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0003824,DEV_0108,edge_device,2026-01-05 11:59:28,38,0.1242743546137605,0.732,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0004164,DEV_0108,edge_device,2026-01-05 17:41:27,39,0.1510592566479092,0.746,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0004253,DEV_0108,edge_device,2026-01-05 19:36:05,40,0.1376136507500937,0.76,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0004268,DEV_0108,edge_device,2026-01-05 19:55:00,41,0.1633123718258201,0.774,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0004276,DEV_0108,edge_device,2026-01-05 20:11:53,42,0.1090805046509796,0.788,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0004443,DEV_0108,edge_device,2026-01-06 07:12:24,43,0.2119310735870013,0.802,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0004461,DEV_0108,edge_device,2026-01-06 07:29:37,44,0.248020296087833,0.8160000000000001,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0004722,DEV_0108,edge_device,2026-01-06 11:38:13,45,0.1047649264332596,0.8300000000000001,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0005145,DEV_0108,edge_device,2026-01-06 19:32:28,46,0.1066287855408633,0.8440000000000001,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0005151,DEV_0108,edge_device,2026-01-06 19:41:44,47,0.1421317315986621,0.8579999999999999,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0005162,DEV_0108,edge_device,2026-01-06 19:48:14,48,0.1103775251457847,0.8719999999999999,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0005201,DEV_0108,edge_device,2026-01-06 20:48:38,49,0.1882113697719779,0.8859999999999999,normal,Cold-start: score vs population baseline (confidence ramping)
SES_0005207,DEV_0108,edge_device,2026-01-06 20:54:20,50,0.1279229201570944,0.8999999999999999,normal,Cold-start: score vs population baseline (confidence ramping)
